key	result
deli	[ [ "的黎波里" , "利比亚" , 2] , [ "德令哈" , "中国" , 2]]
yms	[ [ "亚穆苏克罗" , "科特迪瓦" , 2]]
ruicha	[ [ "瑞昌" , "中国" , 2]]
wukelan	[ [ "乌克兰" , "欧洲" , 1]]
moers	[ [ "莫尔斯比港" , "巴布亚新几内亚" , 2]]
wuhu	[ [ "芜湖" , "中国" , 2]]
尼科西亚	[ [ "尼科西亚" , "塞浦路斯" , 2]]
ymn	[ [ "亚美尼亚" , "亚洲" , 1]]
mazhuluo	[ [ "马朱罗" , "马绍尔群岛" , 2]]
卢旺	[ [ "卢旺达" , "非洲" , 1]]
wuha	[ [ "乌海" , "中国" , 2] , [ "武汉" , "中国" , 2]]
bosen	[ [ "博森贝莫" , "中非" , 2]]
apal	[ [ "阿帕拉普希里" , "印度尼西亚" , 2]]
ynq	[ [ "尤宁群岛" , "圣文森特和格林纳丁斯" , 2]]
多米尼加	[ [ "多米尼加" , "北美洲" , 1] , [ "多米尼加岛" , "多米尼克" , 2] , [ "多米尼加共和国" , "北美洲" , 1]]
科威特城	[ [ "科威特城" , "科威特" , 2]]
gyje	[ [ "瓜亚基尔" , "厄瓜多尔" , 2]]
wuke	[ [ "乌克兰" , "欧洲" , 1]]
endepe	[ [ "恩德培" , "乌干达" , 2]]
希腊	[ [ "希腊" , "欧洲" , 1]]
孟加拉国	[ [ "孟加拉国" , "亚洲" , 1]]
mikenuo	[ [ "米克诺斯岛" , "希腊" , 2] , [ "米科诺斯岛" , "希腊" , 2]]
baniya	[ [ "巴尼亚卢卡" , "波黑" , 2]]
guangdong	[ [ "广东" , "中国" , 2]]
kemodu	[ [ "科摩多" , "非洲" , 1]]
ygl	[ [ "英格兰" , "英国" , 2]]
bonaier	[ [ "博奈尔" , "荷属安的列斯" , 2]]
ssbygj	[ [ "莎士比亚故居" , "英国" , 2]]
malaluo	[ [ "马拉洛奇斯" , "肯尼亚" , 2]]
阿拉瓜	[ [ "阿拉瓜依纳" , "巴西" , 2]]
阿内蒂乌	[ [ "阿内蒂乌姆(岛)" , "瓦努阿图" , 2]]
tianmen	[ [ "天门" , "中国" , 2]]
xintiane	[ [ "新天鹅堡" , "德国" , 2]]
deho	[ [ "德宏" , "中国" , 2]]
wuji	[ [ "吴江" , "中国" , 2] , [ "五家渠" , "中国" , 2]]
moerb	[ [ "墨尔本" , "澳大利亚" , 2]]
萨尔岛	[ [ "萨尔岛" , "佛得角" , 2]]
moerd	[ [ "摩尔多瓦" , "欧洲" , 1]]
dehu	[ [ "德惠" , "中国" , 2]]
澳大利	[ [ "澳大利亚" , "大洋洲" , 1]]
xilinguol	[ [ "锡林郭勒" , "中国" , 2]]
adelaide	[ [ "阿德莱德" , "澳大利亚" , 2]]
因特	[ [ "因特拉肯" , "瑞士" , 2]]
ygs	[ [ "伊瓜苏" , "巴西" , 2]]
babuyax	[ [ "巴布亚新几内亚" , "大洋洲" , 1]]
kamai	[ [ "喀麦隆" , "非洲" , 1]]
tunchang	[ [ "屯昌" , "中国" , 2]]
kamag	[ [ "卡马圭" , "古巴" , 2]]
yhn	[ [ "约翰内斯堡" , "南非" , 2] , [ "约翰内斯堡市" , "南非" , 2]]
taneineil	[ [ "塔那那利佛" , "马达加斯加" , 2]]
katuowei	[ [ "卡托维兹" , "波兰" , 2]]
degu	[ [ "德国" , "欧洲" , 1]]
annuoben	[ [ "安诺本岛" , "赤道几内亚" , 2]]
neigela	[ [ "内格拉港" , "巴拉圭" , 2]]
jinjiang	[ [ "晋江" , "中国" , 2]]
azhim	[ [ "阿治曼" , "阿拉伯联合酋长国" , 2]]
泰州	[ [ "泰州" , "中国" , 2]]
neigeli	[ [ "内格里尔" , "牙买加" , 2]]
akeqiub	[ [ "阿克秋宾斯克" , "哈萨克斯坦" , 2]]
hancheng	[ [ "韩城" , "中国" , 2]]
dehe	[ [ "德黑兰" , "伊朗" , 2]]
yin	[ [ "英国" , "欧洲" , 1] , [ "因特拉肯" , "瑞士" , 2] , [ "印度尼西亚" , "亚洲" , 1] , [ "因斯布鲁克" , "奥地利" , 2] , [ "茵斯布鲁克" , "奥地利" , 2] , [ "印度" , "亚洲" , 1] , [ "英德" , "中国" , 2] , [ "伊宁" , "中国" , 2] , [ "营口" , "中国" , 2] , [ "鹰潭" , "中国" , 2]]
jedh	[ [ "加尔达湖畔" , "意大利" , 2]]
yim	[ [ "义马" , "中国" , 2]]
yil	[ [ "伊犁" , "中国" , 2] , [ "伊拉克" , "亚洲" , 1] , [ "伊朗" , "亚洲" , 1] , [ "伊林加" , "坦桑尼亚" , 2] , [ "易路斯岛" , "巴哈马" , 2] , [ "伊丽沙白港" , "南非" , 2] , [ "伊犁哈萨克自治州" , "中国" , 2]]
ngle	[ [ "内格里尔" , "牙买加" , 2]]
nglg	[ [ "内格拉港" , "巴拉圭" , 2]]
maaida	[ [ "马埃岛" , "塞舌尔" , 2]]
卡斯	[ [ "纽卡斯尔" , "英国" , 2] , [ "卡斯塔韦" , "斐济" , 2] , [ "卡斯特里" , "圣卢西亚" , 2] , [ "卡斯卡伊斯" , "葡萄牙" , 2] , [ "博卡斯德尔托罗" , "巴拿马" , 2] , [ "奥斯卡斯哈门" , "瑞典" , 2]]
aerwei	[ [ "阿尔维斯克尔" , "瑞典" , 2]]
gylm	[ [ "瓜亚拉梅林" , "玻利维亚" , 2]]
yig	[ [ "伊瓜苏" , "巴西" , 2]]
yie	[ [ "伊尔比德" , "约旦" , 2] , [ "伊尔库茨克" , "俄罗斯" , 2]]
yid	[ [ "意大利" , "欧洲" , 1] , [ "宜都" , "中国" , 2]]
yic	[ [ "伊春" , "中国" , 2] , [ "宜春" , "中国" , 2] , [ "宜昌" , "中国" , 2] , [ "宜城" , "中国" , 2]]
beihengao	[ [ "贝亨奥普佐姆" , "荷兰" , 2]]
布列斯	[ [ "布列斯特" , "白俄罗斯" , 2]]
yib	[ [ "怡保" , "马来西亚" , 2] , [ "宜宾" , "中国" , 2]]
wulu	[ [ "乌鲁木齐" , "中国" , 2]]
jianya	[ [ "建阳" , "中国" , 2] , [ "简阳" , "中国" , 2]]
gsdlj	[ [ "哥斯达黎加" , "北美洲" , 1]]
yix	[ [ "宜兴" , "中国" , 2]]
yiy	[ [ "依云小镇" , "瑞士" , 2] , [ "益阳" , "中国" , 2]]
恩戈罗恩	[ [ "恩戈罗恩戈罗" , "坦桑尼亚" , 2]]
yiz	[ [ "宜州" , "中国" , 2] , [ "仪征" , "中国" , 2] , [ "伊兹密尔" , "土耳其" , 2]]
haifang	[ [ "海防" , "越南" , 2]]
wula	[ [ "乌拉圭" , "南美洲" , 1] , [ "乌兰巴托" , "蒙古" , 2] , [ "乌兰察布" , "中国" , 2] , [ "乌兰浩特" , "中国" , 2] , [ "乌拉特中镇" , "中国" , 2]]
bosad	[ [ "波萨达斯" , "阿根廷" , 2]]
白俄罗斯	[ [ "白俄罗斯" , "欧洲" , 1]]
yiw	[ [ "义乌" , "中国" , 2]]
aljes	[ [ "阿拉加尔萨斯" , "巴西" , 2]]
bosai	[ [ "伯赛恩" , "缅甸" , 2]]
maneigua	[ [ "马那瓜" , "尼加拉瓜" , 2]]
yis	[ [ "伊斯坦布尔" , "土耳其" , 2] , [ "伊斯坦堡" , "土耳其" , 2] , [ "以色列" , "亚洲" , 1] , [ "伊斯那" , "埃及" , 2] , [ "伊斯法罕" , "伊朗" , 2] , [ "伊斯兰堡" , "巴基斯坦" , 2]]
bosan	[ [ "博桑戈阿" , "中非" , 2]]
tkshkksq	[ [ "特克斯和凯科斯群岛" , "北美洲" , 1] , [ "特克斯和凯科斯群岛（英）" , "北美洲" , 1]]
ailukedao	[ [ "艾芦克岛" , "马绍尔群岛" , 2]]
yjd	[ [ "雅加达" , "印度尼西亚" , 2] , [ "亚加的尔" , "摩洛哥" , 2]]
阿斯蒂帕莱	[ [ "阿斯蒂帕莱阿岛" , "希腊" , 2]]
juerp	[ [ "居尔皮普" , "毛里求斯" , 2]]
yjc	[ [ "羊角村" , "荷兰" , 2]]
baojia	[ [ "宝礁" , "巴哈马" , 2] , [ "保加利亚" , "欧洲" , 1]]
abasigang	[ [ "阿巴斯港" , "伊朗" , 2]]
wulanch	[ [ "乌兰察布" , "中国" , 2]]
kaluowei	[ [ "卡罗维发利" , "捷克" , 2]]
双城	[ [ "双城" , "中国" , 2]]
asima	[ [ "阿斯马拉" , "厄立特里亚" , 2]]
jiangdo	[ [ "江都" , "中国" , 2]]
博斯	[ [ "博斯特" , "阿富汗" , 2]]
南昌	[ [ "南昌" , "中国" , 2]]
bjlst	[ [ "布加勒斯特" , "罗马尼亚" , 2]]
papi	[ [ "帕皮提" , "法属波利尼西亚" , 2]]
atghbb	[ [ "安提瓜和巴布达" , "北美洲" , 1]]
曼谷	[ [ "曼谷" , "泰国" , 2]]
endeka	[ [ "恩德卡汗" , "蒙古" , 2]]
abudaier	[ [ "阿布戴尔" , "肯尼亚" , 2]]
aemny	[ [ "阿尔梅尼亚" , "哥伦比亚" , 2]]
zhenji	[ [ "镇江" , "中国" , 2]]
ashenbodu	[ [ "阿什伯顿" , "新西兰" , 2]]
kekeda	[ [ "科科岛" , "古巴" , 2]]
凯里	[ [ "凯里" , "中国" , 2] , [ "凯里郡" , "爱尔兰" , 2] , [ "凯里尼亚" , "塞浦路斯" , 2]]
上丁	[ [ "上丁" , "柬埔寨" , 2]]
luoxia	[ [ "罗先市" , "朝鲜" , 2]]
科托	[ [ "科托努" , "贝宁" , 2]]
ganna	[ [ "甘南" , "中国" , 2]]
巴格达	[ [ "巴格达" , "伊拉克" , 2]]
aemnl	[ [ "阿尔梅纳拉" , "巴西" , 2]]
aleinasi	[ [ "阿雷纳斯角" , "智利" , 2]]
lawaerpi	[ [ "拉瓦尔品第" , "巴基斯坦" , 2]]
萨格	[ [ "萨格勒布" , "克罗地亚" , 2]]
xtl	[ [ "新特拉" , "葡萄牙" , 2]]
jinzho	[ [ "晋州" , "中国" , 2] , [ "锦州" , "中国" , 2] , [ "晋中" , "中国" , 2]]
langbolaba	[ [ "朗勃拉邦" , "老挝" , 2] , [ "琅勃拉邦" , "老挝" , 2]]
keluodiy	[ [ "克罗地亚" , "欧洲" , 1]]
shaonufeng	[ [ "少女峰" , "瑞士" , 2]]
nanhai	[ [ "南海" , "中国" , 2]]
xte	[ [ "新天鹅堡" , "德国" , 2]]
巴兰基亚	[ [ "巴兰基亚" , "哥伦比亚" , 2]]
bikaneie	[ [ "比卡内尔" , "印度" , 2]]
库克群岛	[ [ "库克群岛" , "大洋洲" , 1] , [ "库克群岛（新）" , "大洋洲" , 1]]
蒙罗维亚	[ [ "蒙罗维亚" , "利比里亚" , 2]]
比绍	[ [ "比绍" , "几内亚比绍" , 2] , [ "几内亚比绍" , "非洲" , 1]]
开普	[ [ "开普敦" , "南非" , 2]]
瓜里	[ [ "瓜里尔" , "印度" , 2]]
lundun	[ [ "伦敦" , "英国" , 2]]
hanmierdun	[ [ "汉密尔顿" , "新西兰" , 2]]
lubuer	[ [ "卢布尔雅那" , "斯洛文尼亚" , 2]]
埃及	[ [ "埃及" , "非洲" , 1]]
aolinboba	[ [ "奥林波堡" , "巴拉圭" , 2]]
bulongd	[ [ "布隆迪" , "非洲" , 1]]
ganpe	[ [ "甘蓬碧" , "泰国" , 2]]
xsb	[ [ "西双版纳" , "中国" , 2]]
zhengz	[ [ "郑州" , "中国" , 2]]
sumendal	[ [ "苏门答腊岛" , "印度尼西亚" , 2]]
xsh	[ [ "西撒哈拉" , "非洲" , 1]]
拉塞瓦	[ [ "拉塞瓦" , "洪都拉斯" , 2]]
deqi	[ [ "德清" , "中国" , 2]]
班夫及	[ [ "班夫及贾斯珀" , "加拿大" , 2]]
北流	[ [ "北流" , "中国" , 2]]
梵蒂冈城	[ [ "梵蒂冈城" , "梵蒂冈" , 2]]
wenlai	[ [ "文莱" , "亚洲" , 1] , [ "文莱－穆阿拉区" , "文莱" , 2]]
qiandongn	[ [ "黔东南" , "中国" , 2]]
伦皮拉港	[ [ "伦皮拉港" , "洪都拉斯" , 2]]
geerfeitu	[ [ "戈尔菲托" , "哥斯达黎加" , 2]]
yadesi	[ [ "亚的斯亚贝巴" , "埃塞俄比亚" , 2]]
埃吉	[ [ "埃吉尔斯塔第尔" , "冰岛" , 2]]
新乡	[ [ "新乡" , "中国" , 2]]
lanaka	[ [ "拉纳卡" , "塞浦路斯" , 2]]
xmn	[ [ "夏慕尼" , "法国" , 2]]
ganji	[ [ "甘贾" , "阿塞拜疆" , 2]]
pala	[ [ "帕劳" , "大洋洲" , 1] , [ "帕劳市" , "帕劳" , 2] , [ "帕拉马里博" , "苏里南" , 2] , [ "帕拉西奥斯" , "洪都拉斯" , 2]]
马耳他岛	[ [ "马耳他岛" , "马耳他" , 2]]
墨塞哥维	[ [ "墨塞哥维那" , "欧洲" , 1]]
yandangs	[ [ "雁荡山" , "中国" , 2]]
pali	[ [ "帕利基尔" , "密克罗尼西亚" , 2]]
flcwf	[ [ "弗罗茨瓦夫" , "波兰" , 2]]
jiesho	[ [ "界首" , "中国" , 2]]
mandale	[ [ "曼达勒戈壁" , "蒙古" , 2]]
xisah	[ [ "西撒哈拉" , "非洲" , 1]]
热那亚	[ [ "热那亚" , "意大利" , 2]]
新乐	[ [ "新乐" , "中国" , 2]]
比什凯克	[ [ "比什凯克" , "吉尔吉斯斯坦" , 2]]
palu	[ [ "帕罗" , "不丹" , 2] , [ "帕伦克" , "墨西哥" , 2]]
xly	[ [ "叙利亚" , "亚洲" , 1]]
anuha	[ [ "阿努哈岛度假胜地" , "所罗门群岛" , 2]]
budiyaba	[ [ "布蒂亚巴" , "乌干达" , 2]]
三亚	[ [ "三亚" , "中国" , 2]]
yilishab	[ [ "伊丽沙白港" , "南非" , 2]]
密克	[ [ "密克罗尼西亚" , "大洋洲" , 1] , [ "圣皮埃尔和密克隆岛" , "北美洲" , 1]]
kuazulu-	[ ]
yandangsha	[ [ "雁荡山" , "中国" , 2]]
北海	[ [ "北海道" , "日本" , 2] , [ "北海" , "中国" , 2]]
nanxiong	[ [ "南雄" , "中国" , 2]]
不丹	[ [ "不丹" , "亚洲" , 1]]
阿瓦雷	[ [ "阿瓦雷" , "埃塞俄比亚" , 2]]
科戈	[ [ "科戈" , "赤道几内亚" , 2]]
mianzh	[ [ "绵竹" , "中国" , 2]]
bonans	[ [ "博南萨" , "尼加拉瓜" , 2]]
拜蒂克洛	[ [ "拜蒂克洛" , "斯里兰卡" , 2]]
shengaoyi	[ [ "圣奥依斯坦图斯" , "荷属安的列斯" , 2]]
wulanba	[ [ "乌兰巴托" , "蒙古" , 2]]
马达加斯	[ [ "马达加斯加" , "非洲" , 1]]
孟州	[ [ "孟州" , "中国" , 2]]
伯利兹	[ [ "伯利兹" , "北美洲" , 1]]
wulanbatuo	[ [ "乌兰巴托" , "蒙古" , 2]]
aerbuke	[ [ "阿尔布克" , "也门" , 2]]
pamu	[ [ "帕姆卡莱" , "土耳其" , 2]]
aidemengd	[ [ "埃德蒙顿" , "加拿大" , 2]]
bilao	[ [ "比劳" , "中非" , 2]]
mianya	[ [ "绵阳" , "中国" , 2]]
panj	[ [ "盘锦" , "中国" , 2]]
manchesite	[ [ "曼彻斯特" , "英国" , 2]]
pang	[ [ "庞贝" , "意大利" , 2]]
yelusalen	[ [ "耶路撒冷" , "以色列" , 2]]
ganlu	[ [ "甘露市" , "加拿大" , 2]]
pans	[ [ "磐石" , "中国" , 2]]
pann	[ [ "潘涅维日" , "立陶宛" , 2]]
开曼	[ [ "开曼群岛（英）" , "北美洲" , 1] , [ "开曼群岛(英属)" , "北美洲" , 1]]
panz	[ [ "攀枝花" , "中国" , 2]]
fashu	[ [ "法属波利尼西亚" , "大洋洲" , 1] , [ "法属圭亚那" , "南美洲" , 1]]
bonape	[ [ "波纳佩" , "密克罗尼西亚" , 2]]
wubon	[ [ "乌波努" , "萨摩亚" , 2]]
留尼汪	[ [ "留尼汪(法属)" , "非洲" , 1]]
gangb	[ [ "冈比亚" , "非洲" , 1]]
pagu	[ [ "帕古巴" , "乌干达" , 2]]
fenyan	[ [ "汾阳" , "中国" , 2]]
wdlydpb	[ [ "维多利亚大瀑布" , "津巴布韦" , 2]]
otelai	[ [ "噢特莱斯" , "意大利" , 2]]
特古	[ [ "特古西加尔巴" , "洪都拉斯" , 2]]
yuanji	[ [ "沅江" , "中国" , 2]]
muban	[ [ "姆班达卡" , "刚果(布)" , 2]]
德令	[ [ "德令哈" , "中国" , 2]]
jiaohe	[ [ "蛟河" , "中国" , 2]]
长滩岛	[ [ "长滩岛" , "菲律宾" , 2]]
布莱	[ [ "布莱顿" , "克罗地亚" , 2] , [ "布莱德" , "斯洛文尼亚" , 2]]
jiangme	[ [ "江门" , "中国" , 2]]
pafu	[ [ "帕福斯" , "塞浦路斯" , 2]]
gangg	[ [ "刚果（布）" , "非洲" , 1] , [ "刚果（金）" , "非洲" , 1] , [ "刚果(布)" , "非洲" , 1] , [ "刚果(金)" , "非洲" , 1]]
anula	[ [ "阿努拉德普勒" , "斯里兰卡" , 2]]
gangc	[ [ "刚察" , "中国" , 2]]
zhangqix	[ [ "长崎县" , "日本" , 2]]
yingkou	[ [ "营口" , "中国" , 2]]
tets	[ [ "塔尔图斯" , "叙利亚" , 2]]
xyc	[ [ "薰衣草" , "法国" , 2]]
阿拉瓜依	[ [ "阿拉瓜依纳" , "巴西" , 2]]
zhangqiu	[ [ "章丘" , "中国" , 2]]
aptj	[ [ "阿帕塔基" , "法属波利尼西亚" , 2]]
宜城	[ [ "宜城" , "中国" , 2]]
mubab	[ [ "姆巴巴内" , "斯威士兰" , 2]]
xyl	[ [ "匈牙利" , "欧洲" , 1]]
shengmalid	[ [ "圣玛丽岛" , "马达加斯加" , 2]]
shengmalin	[ [ "圣马力诺" , "欧洲" , 1] , [ "圣马力诺市" , "圣马力诺" , 2]]
xyt	[ [ "西雅图" , "美国" , 2]]
江油	[ [ "江油" , "中国" , 2]]
sikepul	[ [ "斯科普里" , "马其顿" , 2]]
布加勒	[ [ "布加勒斯特" , "罗马尼亚" , 2]]
wuwe	[ [ "武威" , "中国" , 2]]
pais	[ [ "派桑杜" , "乌拉圭" , 2]]
habolu	[ [ "哈博罗内" , "博茨瓦纳" , 2]]
yinchuan	[ [ "银川" , "中国" , 2]]
wuxu	[ [ "武穴" , "中国" , 2]]
玻利维	[ [ "玻利维亚" , "南美洲" , 1]]
jdmd	[ [ "加德满都" , "尼泊尔" , 2]]
akeleili	[ [ "阿克雷里" , "冰岛" , 2]]
波罗斯	[ [ "波罗斯岛" , "希腊" , 2]]
wuxi	[ [ "无锡" , "中国" , 2] , [ "吴县" , "中国" , 2]]
heneis	[ [ "河内市" , "越南" , 2]]
huazho	[ [ "化州" , "中国" , 2]]
jdms	[ [ "加达梅斯老城" , "利比亚" , 2]]
boergeers	[ [ "博尔戈尔山" , "苏丹" , 2]]
abuzhabi	[ [ "阿布扎比" , "阿拉伯联合酋长国" , 2]]
banjialuo	[ [ "班加罗尔" , "印度" , 2]]
阿克罗蒂里	[ [ "阿克罗蒂里" , "塞浦路斯" , 2]]
wuyu	[ [ "五渔村" , "意大利" , 2] , [ "婺源" , "中国" , 2]]
bingda	[ [ "冰岛" , "欧洲" , 1]]
梅州	[ [ "梅州" , "中国" , 2]]
萨杜	[ [ "萨杜马勒" , "罗马尼亚" , 2]]
asita	[ [ "阿斯塔纳" , "哈萨克斯坦" , 2]]
lijian	[ [ "里加纳" , "加拿大" , 2] , [ "丽江" , "中国" , 2]]
asite	[ [ "阿斯特拉赛特拉" , "印度尼西亚" , 2]]
卡萨布	[ [ "卡萨布兰卡" , "摩洛哥" , 2]]
衢州	[ [ "衢州" , "中国" , 2]]
wuyi	[ [ "武义" , "中国" , 2] , [ "武夷山" , "中国" , 2]]
黄骅	[ [ "黄骅" , "中国" , 2]]
多米尼克	[ [ "多米尼克" , "北美洲" , 1]]
弗拉	[ [ "弗拉基米尔" , "俄罗斯" , 2] , [ "库弗拉" , "利比亚" , 2]]
wenlin	[ [ "温岭" , "中国" , 2]]
deya	[ [ "德阳" , "中国" , 2]]
法属圭亚	[ [ "法属圭亚那" , "南美洲" , 1]]
baniyalu	[ [ "巴尼亚卢卡" , "波黑" , 2]]
ketediw	[ [ "科特迪瓦" , "非洲" , 1]]
奥斯卡斯	[ [ "奥斯卡斯哈门" , "瑞典" , 2]]
爱尔	[ [ "北爱尔兰" , "英国" , 2] , [ "爱尔兰" , "欧洲" , 1]]
gedansike	[ [ "格但斯克" , "波兰" , 2]]
焉耆	[ [ "焉耆" , "中国" , 2]]
suoluomen	[ [ "所罗门群岛" , "大洋洲" , 1]]
苏里	[ [ "苏里南" , "南美洲" , 1]]
wuzh	[ [ "梧州" , "中国" , 2] , [ "吴忠" , "中国" , 2] , [ "五指山" , "中国" , 2]]
wuzi	[ [ "乌兹别克斯坦" , "亚洲" , 1]]
saineijia	[ [ "塞内加尔" , "非洲" , 1]]
泰安	[ [ "泰安" , "中国" , 2]]
maerduonad	[ [ "马尔多纳多" , "乌拉圭" , 2]]
xul	[ [ "叙利亚" , "亚洲" , 1]]
dezh	[ [ "德州" , "中国" , 2]]
班梅苏	[ [ "班梅苏奥特" , "越南" , 2]]
puluow	[ [ "普罗旺斯埃克斯" , "法国" , 2] , [ "普罗旺斯" , "法国" , 2]]
deze	[ [ "德尔祖尔" , "叙利亚" , 2]]
萨尔茨堡	[ [ "萨尔茨堡" , "奥地利" , 2]]
廉江	[ [ "廉江" , "中国" , 2]]
situji	[ [ "斯图加特" , "德国" , 2]]
buliqidun	[ [ "布里奇顿" , "巴巴多斯" , 2]]
luoxianshi	[ [ "罗先市" , "朝鲜" , 2]]
新余	[ [ "新余" , "中国" , 2]]
xuc	[ [ "许昌" , "中国" , 2]]
zhousha	[ [ "舟山" , "中国" , 2]]
xua	[ [ "宣威" , "中国" , 2] , [ "宣城" , "中国" , 2]]
spls	[ [ "塞浦路斯" , "亚洲" , 1]]
splt	[ [ "斯普利特" , "克罗地亚" , 2]]
maanshan	[ [ "马鞍山" , "中国" , 2]]
munihe	[ [ "慕尼黑" , "德国" , 2]]
xuz	[ [ "徐州" , "中国" , 2]]
lasailei	[ [ "拉塞雷纳" , "智利" , 2]]
shashi	[ [ "莎士比亚故居" , "英国" , 2] , [ "沙市" , "中国" , 2]]
amupal	[ [ "阿姆帕拉" , "斯里兰卡" , 2]]
xun	[ [ "薰衣草" , "法国" , 2]]
ganbi	[ [ "甘比尔岛" , "法属波利尼西亚" , 2]]
xxl	[ [ "新西兰" , "大洋洲" , 1] , [ "西西里岛" , "意大利" , 2]]
合作	[ [ "合作" , "中国" , 2]]
lushanche	[ [ "绿山城" , "波兰" , 2]]
paer	[ [ "帕尔努" , "爱沙尼亚" , 2] , [ "帕尔马尔" , "哥斯达黎加" , 2]]
布蒂	[ [ "布蒂亚巴" , "乌干达" , 2]]
gezuoda	[ [ "戈佐岛" , "马耳他" , 2]]
agenti	[ [ "阿根廷" , "南美洲" , 1]]
xxd	[ [ "西峡（大峡谷）" , "美国" , 2]]
mikeluonix	[ [ "密克罗尼西亚" , "大洋洲" , 1]]
jiangsu	[ [ "江苏" , "中国" , 2]]
padu	[ [ "帕多瓦" , "意大利" , 2]]
列支敦士登	[ [ "列支敦士登" , "欧洲" , 1]]
塞内加尔	[ [ "塞内加尔" , "非洲" , 1]]
gezuodao	[ [ "戈佐岛" , "马耳他" , 2]]
jiangsh	[ [ "江山" , "中国" , 2]]
asiwa	[ [ "阿斯旺" , "埃及" , 2]]
sangjiba	[ [ "桑给巴尔" , "坦桑尼亚" , 2]]
xwz	[ [ "西乌珠穆沁旗" , "中国" , 2]]
基亚	[ [ "基亚特" , "以色列" , 2] , [ "巴兰基亚" , "哥伦比亚" , 2] , [ "拉塔基亚" , "叙利亚" , 2]]
matinike	[ [ "马提尼克（法）" , "北美洲" , 1] , [ "马提尼克(法属)" , "北美洲" , 1]]
xwy	[ [ "夏威夷" , "美国" , 2] , [ "夏威夷州" , "美国" , 2] , [ "夏威夷群岛" , "美国" , 2]]
shengtao	[ [ "圣淘沙" , "新加坡" , 2] , [ "圣淘沙岛" , "新加坡" , 2]]
dexi	[ [ "德兴" , "中国" , 2]]
zhangjiag	[ [ "张家港" , "中国" , 2]]
aerkalei	[ [ "阿尔卡雷克" , "哈萨克斯坦" , 2]]
kamailong	[ [ "喀麦隆" , "非洲" , 1]]
zhangjiaj	[ [ "张家界" , "中国" , 2]]
建阳	[ [ "建阳" , "中国" , 2]]
特立尼达	[ [ "特立尼达和多巴哥" , "北美洲" , 1]]
zhangjiak	[ [ "张家口" , "中国" , 2]]
mstlht	[ [ "马斯特里赫特" , "荷兰" , 2]]
bonansa	[ [ "博南萨" , "尼加拉瓜" , 2]]
tklx	[ [ "托克劳（新）" , "大洋洲" , 1]]
palaoshi	[ [ "帕劳市" , "帕劳" , 2]]
拜蒂克	[ [ "拜蒂克洛" , "斯里兰卡" , 2]]
比萨	[ [ "比萨" , "意大利" , 2]]
xhn	[ [ "西哈努克" , "柬埔寨" , 2]]
ymsk	[ [ "亚穆苏克罗" , "科特迪瓦" , 2]]
yinggelan	[ [ "英格兰" , "英国" , 2]]
kalag	[ [ "卡拉干达" , "哈萨克斯坦" , 2]]
xj-	[ ]
dongga	[ [ "东港" , "中国" , 2]]
bokala	[ [ "博卡拉" , "尼泊尔" , 2]]
asby	[ [ "埃斯比约" , "丹麦" , 2]]
ledo	[ [ "乐东" , "中国" , 2]]
qing	[ [ "清迈" , "泰国" , 2] , [ "清莱" , "泰国" , 2] , [ "庆州" , "韩国" , 2] , [ "青岛" , "中国" , 2] , [ "清河" , "中国" , 2] , [ "青海" , "中国" , 2] , [ "清津" , "朝鲜" , 2] , [ "庆阳" , "中国" , 2] , [ "清远" , "中国" , 2] , [ "清镇" , "中国" , 2]]
maer	[ [ "马尔默" , "瑞典" , 2] , [ "马耳他" , "欧洲" , 1] , [ "马尔代夫" , "亚洲" , 1] , [ "马耳他岛" , "马耳他" , 2] , [ "马尔多纳多" , "乌拉圭" , 2]]
tkms	[ [ "土库曼斯坦" , "亚洲" , 1]]
qinh	[ [ "秦皇岛" , "中国" , 2]]
gdlp(fs)	[ ]
因斯布	[ [ "因斯布鲁克" , "奥地利" , 2]]
asdp	[ [ "阿斯蒂帕莱阿岛" , "希腊" , 2]]
asdq	[ [ "阿散蒂区" , "加纳" , 2]]
aleinasij	[ [ "阿雷纳斯角" , "智利" , 2]]
dibili	[ [ "第比利斯" , "格鲁吉亚" , 2]]
diniebolu	[ [ "第聂伯罗彼得罗夫斯克" , "乌克兰" , 2]]
labas	[ [ "拉巴斯" , "玻利维亚" , 2]]
qiny	[ [ "沁阳" , "中国" , 2]]
布隆	[ [ "布隆迪" , "非洲" , 1] , [ "淡布隆区" , "文莱" , 2]]
xgl	[ [ "香格里拉" , "中国" , 2]]
孝感	[ [ "孝感" , "中国" , 2]]
dongge	[ [ "东戈瓦" , "瓦努阿图" , 2]]
bolune/f	[ ]
马那	[ [ "马那瓜" , "尼加拉瓜" , 2]]
qinz	[ [ "钦州" , "中国" , 2]]
科纳克	[ [ "科纳克里" , "几内亚" , 2]]
feier	[ [ "费尔干纳" , "乌兹别克斯坦" , 2]]
庆阳	[ [ "庆阳" , "中国" , 2]]
平顶	[ [ "平顶山" , "中国" , 2]]
mafu	[ [ "马夫拉客" , "约旦" , 2]]
aiais	[ [ "埃埃斯" , "纳米比亚" , 2]]
donggu	[ [ "东莞" , "中国" , 2]]
qion	[ [ "琼海" , "中国" , 2] , [ "邛崃" , "中国" , 2] , [ "琼中" , "中国" , 2]]
