拼音	词汇一	词汇二	...	词汇n
luoatan	罗阿坦
yy	余姚	岳阳	益阳	荥阳
zblt	直布罗陀
yz	仪征	兖州	宜州	扬中	扬州	永州	禹州	芽庄
asw	阿斯旺
atm	安提曼
zw	中卫
zy	张掖	招远	枣阳	资阳	遵义
andaoer	安道尔
atk	阿塔克
zx	资兴	钟祥
atl	阿陶罗
jiangsu	江苏
zs	中山	中沙	樟树	舟山	长沙
bayamalei	巴亚马雷
zt	昭通
ate	阿塔尔
gezuodao	戈佐岛
atf	艾图斐
zq	章丘	肇庆	重庆	长崎
pltg	普拉塔港
zp	漳平
ati	阿提
zk	周口
zj	枝江	浙江	湛江	诸暨	镇江
atg	阿塔格
zl	智利	长乐
yg	英国	仰光
yf	云浮
yc	伊春	宜城	宜昌	宜春	应城	榆次	永城	盐城	禹城	运城	银川	阳春
yd	印度	约旦	宜都	英德	亚丁	雅典	云顶
ya	延安	永安	雅安
yb	宜宾	延边	怡保
ats	阿图什
ajestde	埃吉尔斯塔第尔
dongfang	东方
beiyiliusaila	北伊柳塞拉
butalei	布塔雷
xz	徐州	忻州	新郑	西藏
bdbd	巴登巴登
xx	新乡	湘乡	湘西	新泻
xy	信宜	信阳	兴义	咸阳	孝义	新余	新沂
yx	宜兴	玉溪	蔚县
xwy	夏威夷
aodili	奥地利
yw	义乌
jimeineizigang	吉梅内兹港
yt	烟台	鹰潭
ys	偃师	榆树	阳朔	蔚山
yq	焉耆	阳泉
yp	原平
wlshftnqd	瓦利斯和富图纳群岛
yn	越南	云南	伊宁
aiwa(dao)	埃瓦(岛)
ym	也门	义马	玉门
yl	伊朗	伊犁	榆林	玉林	亚伦
kamailong	喀麦隆
weiniyadeerma	维尼亚德尔马
yk	永康	营口	约克
yj	延吉	永济	沅江	阳江
aiaobeide	埃奥贝德
mstlht	马斯特里赫特
bonansa	博南萨
tklx	托克劳（新）
palaoshi	帕劳市
alashanyou	阿拉善右
yinggelan	英格兰
aoqiaoliaosi	奥桥里奥斯
ffd	法法岛
yuzhou	禹州
jijinshaoer	济金绍尔
bokala	博卡拉
xinmin	新民
asby	埃斯比约
asaibaijiang	阿塞拜疆
changning	常宁
msyhsd	美属约翰斯顿
kuermate	库尔马特
acheng	阿城
lafubao	拉夫堡
gdlp(fs)	瓜德罗普(法属)
asdq	阿散蒂区
edacicheng	讹答刺城
hanimaadou	哈霓玛阿都
naniuji	纳纽基
mainamai	麦纳麦
kwtc	科威特城
aerdabile	阿尔达比勒
asen	奥索尔诺
enjiameina	恩贾梅纳
alandisi	阿兰迪斯
yichun	伊春	宜春
ased	埃沙尔登
ablds	阿布鲁代斯
mengtekadini	蒙特卡蒂尼
walisihefutunaqundao	瓦利斯和富图纳群岛
basailuona	巴塞罗纳
tgxjeb	特古西加尔巴
beilawuniweng	贝拉乌尼翁
xet	锡尔特
huadian	桦甸
allplpd	艾林拉帕拉普岛
gljy	格鲁吉亚
hailaer	海拉尔
benjiali	本贾里
halalei	哈拉雷
hlfks	哈利法克斯
bste	巴斯特尔
xdl	新德里
tuozeer	托泽尔
wawawudao	瓦瓦乌岛
saystts	圣奥依斯坦图斯
tashengan	塔什干
faluoqundao	法罗群岛
shengmixieershan	圣米歇尔山
beiergen	卑尔根
xld	西兰岛
shulan	舒兰
keliwoluoge	克里沃罗格
nuoxibeidao	诺西贝岛
ningxia	宁夏
skpl	斯科普里
aklgl	阿卡里瓜拉
zhoushan	舟山
qinhuangdao	秦皇岛
ajan	阿基安尼
kangsaipuxiweng	康塞普西翁
tsny	坦桑尼亚
badelapo	巴德拉坡
yandangshan	雁荡山
qionghai	琼海
ndh	南戴河	诺丁汉
beddle	比尔都达勒尔
neijiang	内江
xiaweiyiqundao	夏威夷群岛
yinsibuluke	因斯布鲁克	茵斯布鲁克
shengaoyisitantusi	圣奥依斯坦图斯
aabd	埃奥贝德
luozi	罗兹
huanghouzhen	皇后镇
ymskl	亚穆苏克罗
yadian	雅典
jiapeng	加蓬
bosenbeimo	博森贝莫
baoji	宝鸡
dibisi	底比斯
naolu	瑙鲁
xjp	新加坡
dblfnk	杜布罗夫尼克
laisite	莱斯特
ajdz	阿加德兹
beiyaweisita	贝亚维斯塔
fdg	梵蒂冈
sitawange	斯塔万格
fdj	佛得角
puaibula	普埃布拉
ajde	阿加迪尔
lmal	拉姆安拉
mjlf	莫吉廖夫
bcwn	博茨瓦纳
eglegl	恩戈罗恩戈罗
bdglc	波德戈里察
qiannan	黔南
nbe	尼泊尔
mjlg	孟加拉国
haodao	豪岛
fcg	防城港
roma	roma	roma
langfang	廊坊
shenghesai	圣何塞
alaiya	阿莱亚
guandaomei	关岛（美）
guilin	桂林
nax	纽埃（新）
akldl	阿克罗蒂里
aske	埃斯克尔
taizhou	台州	泰州
beikaikesi	北凯科斯
puluowangsi	普罗旺斯
jijiali	基加利
shengantang	圣安唐
yueyang	岳阳
luoma	罗马
songpan	松潘
xiyatu	西雅图
gdsk	格但斯克
leikeyaweike	雷克亚未克	雷克雅未克
bakeluode	巴科洛德
liuzhou	柳州
ajny	阿加尼亚
aluba	阿鲁巴
patan	帕坦
dmnj	多米尼加
huzhou	湖州
dmnk	多米尼克
linxia	临夏
suining	遂宁
liaoyuan	辽源
aluolaidao	阿罗赖岛
abtlp	安巴图兰皮
falankefu	法兰克福
balaaona	巴拉奥纳
masidike	马斯蒂克
mingguwu	名古屋
qingdao	青岛
mengjiala	孟加拉
xunyicao	薰衣草
zhangjiajie	张家界
aersuo	阿尔索
huashengdun	华盛顿
anbulishen	安布里什
lilonggui	利隆圭
tumen	图们
jbbw	津巴布韦
yanshi	偃师
xwyqd	夏威夷群岛
xiefeierde	谢菲尔德
balakea	巴拉科阿
yisilanbao	伊斯兰堡
xhnk	西哈努克
asml	阿斯马拉
palao	帕劳
ltwy	拉脱维亚
abadan	阿巴丹
jinbabuwei	津巴布韦
nanchang	南昌
guangdao	广岛
tongliao	通辽
fengning	丰宁
paguba	帕古巴
mdlqd	马德拉群岛
niuai(xinxilanshu)	纽埃(新西兰属)
sidegeermo	斯德哥尔摩
kaimanqundao(yingshu)	开曼群岛(英属)
asny	爱沙尼亚
bodegelicha	波德戈里察
anbilubei	安比卢贝
glsg	格拉斯哥
mqbq	马丘比丘
myt	梅约特
lusaka	卢萨卡
ajjl	阿加贾里
jingzhou	荆州
mzl	满洲里	马朱罗
xinjiaposhi	新加坡市
wnat	瓦努阿图
glld	格陵兰（丹）
jinsidun	金斯敦
dezhou	德州
dabahamadao	大巴哈马岛
bozuomu	博佐姆
bulageweishensike	布拉戈维申斯克
longnan	陇南
mzz	姆祖祖
miluo	汨罗
xby	西班牙
baoan	宝安
aierleiyaer	埃尔雷亚尔
hsghg	黑山共和国
kaonasi	考纳斯
yiselie	以色列
akesumu	阿克苏姆
aboyisuo	阿博伊索
badika	巴蒂卡
laluomana	拉罗马纳
bbyxjny	巴布亚新几内亚
shaoxing	绍兴
dmsg	大马士革
blan	巴拉奥纳
adlsd	安得鲁斯岛
aehsm	阿尔荷塞马
jiayuguan	嘉峪关
glms	格里姆塞
adedaba	阿德达巴
mjds	摩加迪沙
sailusi	塞卢斯
xianli-wugeku	暹粒-吴哥窟
aljess	阿拉加尔萨斯
mxg	墨西哥
glnd	格林纳达	格拉纳达
saisheer	塞舌尔
pulatagang	普拉塔港
shengbidebao	圣彼得堡
kanuandao	卡努安岛
shengtaosha	圣淘沙
danniding	但尼丁
afutala	阿富塔拉
biminidao	比迷尼岛
linfen	临汾
gemeili	戈梅利
myd	马尤岛
youlingdao	幽灵岛
shalala	沙拉拉
siwakepumengde	斯瓦科普蒙德
huangshi	黄石
dilabotu	迪拉伯土
anduluo	安杜洛
luosang	洛桑
shengnigula	圣尼古拉
jining	济宁	集宁
aiyinhuowen	埃因霍温
bopeila	柏培拉
nanxi	南希
glyf	古里耶夫
lmse	利马索尔
daqing	大庆
liweilaerta	里韦拉尔塔
alashanmeng	阿拉善盟
astn	阿斯塔纳
fuluociwafu	弗罗茨瓦夫
qingyuan	清远
wudalianchi	五大连池
kuaopiao	库奥皮奥
paisangdu	派桑杜
kasiteli	卡斯特里
ganpengbi	甘蓬碧
tianzhang	天长
luwangda	卢旺达
yingshuweierjingqundao	英属维尔京群岛
ltlw	罗托鲁瓦
ltly	罗托鲁亚
buluri	布鲁日
swkpmd	斯瓦科普蒙德
hetaida	荷台达
andaoercheng	安道尔城
adiwudao	阿蒂乌岛
bsga	博桑戈阿
bulusaier	布鲁塞尔
guadalahala	瓜达拉哈拉
bemlt	贝尔马立特
daqili	大其力
wsy	维萨亚
skbl	斯卡伯勒
fakalawa(dao)	法卡拉瓦(岛)
bashila	巴士拉
mianzhu	绵竹
bangfula	邦福拉
jiangdou	江都
hasakesitan	哈萨克斯坦
saisaluoniji	塞萨洛尼基
gaoyao	高要
bolaxi	伯拉西
dingxi	定西
blbl	博拉博拉
gelunbiya	哥伦比亚
chitashi	赤塔市
fklw(d)	法卡拉瓦(岛)
yebd	伊尔比德
zalt	祖埃拉特
weiyena	维也纳
glyt	古拉亚特
bsds	波萨达斯
heishangongheguo	黑山共和国
huasha	华沙
wth	渥太华
shajia	沙加	沙迦
bsbm	博森贝莫
mdlgb	曼达勒戈壁
wys	武夷山
aykqg	阿亚库乔港
yantai	烟台
jilongpo	吉隆坡
shangmoluokui	上莫洛奎
wyn	维也纳
abuxinbile	阿布新比勒
wyb	维约堡
qiaozhidun	乔治敦
wyc	五渔村
lmny	罗马尼亚
qumalai	曲麻莱
xianggang	香港
wzs	五指山
zhuzhou	株洲
sjchnws	圣基茨和尼维斯
lichuan	利川
taiyuan	太原
manqini	曼齐尼
beishaer	贝沙尔
xishuangbanna	西双版纳
huaiyin	淮阴
mashamala	玛沙玛拉
kekedao	科科岛
bazhong	巴中
yhnsb	约翰内斯堡
wutelezhi	乌特勒支
feisi	非斯
blgs	布拉干萨
nrw	尼日瓦
laowo	老挝	佬沃
tianzhushan	天柱山
kapuliwei	卡普里维
ziyang	资阳
laheer	拉合尔
qiyu	埼玉
luomei	洛美
andwm(d)	阿内蒂乌姆(岛)
pangbei	庞贝
kexice	科西策
nre	尼日尔
longjing	龙井
anteweipu	安特卫普
hainan	海南
mayd	芒艾亚岛
xinzheng	新郑
tongren	铜仁
bodegeli	波德戈里
aibeibiyin	埃贝比因
jinshi	津市
wdlyz	维多利亚州
lufeng	陆丰
ldlc	吕德里茨
egde	厄瓜多尔
sadumale	萨杜马勒
xian	西安
npl	楠普拉
egdl	恩冈代雷
aqlas	奥桥里奥斯
botuopaxi	博托帕西
wmg	乌姆盖
eky	恩卡伊
bmxes	布米希尔斯
blmt	巴拉米塔
aerta	阿尔塔
baicheng	白城
pannieweiri	潘涅维日
yekck	伊尔库茨克
niema	涅马
feilujie	费卢杰
bsny	波斯尼亚
bllg	布卢拉贡
dierlunwan	迪尔伦湾
milu	秘鲁
els	俄罗斯
pujidao	普吉岛
yasuerqundaopu	亚速尔群岛（葡）
ylsbg	伊丽沙白港
huliyaka	胡利亚卡
jingangshanguanguangdiqu	金刚山观光地区
wns	威尼斯
blkg	布兰卡港
yizhou	宜州
asiwang	阿斯旺
blka	巴拉科阿
pmkl	帕姆卡莱
aoerbao	奥尔堡
hhya	红海沿岸
blcwe	布拉柴维尔
leizhou	雷州
nnj	纳纽基
ems	峨眉山
anhui	安徽
bsln	巴塞罗纳	巴塞罗那
wkl	乌克兰
fhjd	复活节岛
wuyucun	五渔村
nmb	纳米比
weineiruila	委内瑞拉
keluri	克卢日
yingcheng	应城
bulongdi	布隆迪
nmg	内蒙古
ydsybb	亚的斯亚贝巴
dnck	顿涅茨克
wlg	乌拉圭	维拉港
meizhou	梅州
wlt	瓦莱塔
mali	马里
anguila(yingshu)	安圭拉(英属)
baoshan	保山
bljy	巴兰基亚
wlm	瓦勒米
wln	维罗纳
atan	阿图奥纳
hechi	河池
haershitate	哈尔施塔特
dingzhou	定州
egd	恩高岛
nlb	内罗毕
eliteliya	厄立特里亚
nld	瑙鲁岛
bnylk	巴尼亚卢卡
kunshilanzhou	昆士兰州
atba	阿坦布阿
baerdufusi	巴尔杜福斯
liwofu	利沃夫
szdl	苏滋达里
baoqi	包齐
hezuo	合作
mangya	茫崖
boertuohailiweng	波尔托海利翁
tongchuan	铜川
nante	南特
atbl	阿特巴拉
ailinlapalapudao	艾林拉帕拉普岛
nkl	纳库鲁
wendeheke	温得和克
bawst	博阿维斯塔
wnrl	委内瑞拉
ehj	恩海岬
foshan	佛山
renhuai	仁怀
bsks	巴桑库苏
blqd	布里奇顿
beierxieba	贝尔谢巴
mulongdawa	穆隆达瓦
ynqd	尤宁群岛
bskk	比什凯克
nks	诺库斯
keluoniya	科洛尼亚
weiluona	维罗纳
banjiaxi	班加西
jigema	基戈马
anyang	安阳
Florence	Florence	Florence
astlstl	阿斯特拉赛特拉
ltks	劳托卡市
yasongsen	亚松森
engaodao	恩高岛
badiya	芭堤雅
bayannaoer	巴彦淖尔
madangshi	马当市
changdou	昌都
aieraoke	艾尔奥克
dnge	多尼戈尔
blns	巴里纳斯
niujin	牛津
beihai	北海
jianeiliqundao	加那利群岛
fendayisilita	芬达依斯利塔
jinghong	景洪
blnd	贝拉纳岛
feiji	斐济
ltjy	拉塔基亚
aibuha	艾卜哈
feierganna	费尔干纳
xj-gtk	锡金-甘托克
blny	博洛尼亚
guayalameilin	瓜亚拉梅林
wubonu	乌波努
wuganda	乌干达
tongling	铜陵
heyuan	河源
xiaweiyizhou	夏威夷州
donggewa	东戈瓦
jiaerkayou	加尔卡尤
chengde	承德
taertusi	塔尔图斯
simao	思茅
plsdn	普里什蒂纳
balesitan	巴勒斯坦
beijiaya	贝贾亚
atuaona	阿图奥纳
pugan	蒲甘
tlms	特隆姆瑟
qingtongxia	青铜峡
jiana	加纳	戛纳
bululagong	布卢拉贡
kunka	昆卡
pucheng	浦城
aluya	阿鲁亚
saida	赛达
bblszbl	比卜鲁斯（朱拜勒）
jiami	甲米
byglmgzzz	巴音郭楞蒙古自治州
wepls	瓦尔帕莱索
asaila	阿赛拉
nanfa	南法
dandong	丹东
wbn	乌波努
tuerqi	土耳其
llbl	拉利贝拉
bldeswk	布雷达尔斯维克
chongzuo	崇左
moxigecheng	墨西哥城
madeli	马德里
xinghua	兴化
xierhete	锡尔赫特
lankawei	兰卡威
chibi	赤壁
banji	班吉
wuwei	武威
aguasikaliantesi	阿瓜斯卡连特斯
wfd	瓦房店
lingao	临高
bjpx	波基普西
jixi	鸡西
bulagan	布拉干
nwdb	努瓦迪布
wes	威尔士
cangzhou	沧州
heihe	黑河	黑赫
wen	瓦尔纳
shanshan	鄯善
dmnjd	多米尼加岛
yierbide	伊尔比德
sfend	圣费尔南多
nehe	讷河
kemoluo	科摩罗
huishai	会晒
wanxiang	万象
guyuan	固原
wdz	瓦杜兹
lubueryanei	卢布尔雅那
maliujia	马六甲
ggj	刚果（金）
liuniwangfa	留尼旺（法）
malaitadao	马莱塔岛
yuyao	余姚
ggb	刚果（布）
kalaganda	卡拉干达
langnanta	琅南塔
xinbaerhuyouqi	新巴尔虎右旗
bijini	比基尼
nuowei	挪威
abao	阿包
gangguo(bu)	刚果(布)
jingjidao	京畿道
yakaba	亚喀巴
annaxi	安纳西
xkldnyf	新喀里多尼亚（法）
gelasige	格拉斯哥
abby	埃贝比因
slbjws	斯里巴加湾市
wgd	乌干达
luosaliao	罗萨里奥
wgk	吴哥窟
gew	戈尔韦
wgh	温哥华
panshi	磐石
stalb	沙特阿拉伯
bjst	巴基斯坦
angruang	昂儒昂
gem	格尔木
aolanzhimengde	奥兰治蒙德
ouwaluodao	欧瓦罗岛
qitai	奇台
anbatongdelazhaka	安巴通德拉扎卡
atbse	阿特巴萨尔
madajiasijia	马达加斯加
gdm	关岛（美）
wusihuaiya	乌斯怀亚
wjq	五家渠
amahai	阿马海
kuerganqiubie	库尔干秋别
katamakasheng	卡塔马卡省
gdb	歌德堡	哥德堡
jiate	加特
pengheng	彭亨
kangti	康提
geerwei	戈尔韦
wenzhou	温州
xiwa	希瓦
chuzhou	滁州
aisikeer	埃斯克尔
handan	邯郸
laizhou	莱州
chaohu	巢湖
tingbu	廷布
zengcheng	增城
boluoweici	波罗维茨
takedao	塔克岛
btth	本托塔河
luoyang	洛阳
tuwalu	图瓦卢
mknsd	米克诺斯岛	米科诺斯岛
agsklts	阿瓜斯卡连特斯
abde	阿布戴尔
gbd	高碑店
abms	阿布穆萨
akrt	阿克茹特
tjkst	塔吉克斯坦
dahelakequndao	达赫拉克群岛
fengzhen	丰镇
gby	冈比亚
yisitanbuer	伊斯坦布尔
bayiyabina	巴依亚比纳
shoulai	首莱
hhht	呼和浩特
bajiala	巴佳拉
aiwoneisi	埃沃内斯
gelinnada	格林纳达
aohelide	奥赫里德
bulachaiweier	布拉柴维尔
lucheng	潞城
pinghu	平湖
bakewu	巴克乌
jiatu	加途
anqilabei	安其拉贝
pingdu	平度
jiujinshan	旧金山
lamuzhen	拉穆镇
maijia	麦加
bagan	巴甘
yizheng	仪征
erlianhaote	二连浩特
changshu	常熟
saipulusi	塞浦路斯
tlwf	特拉维夫
ashenhabadeshi	阿什哈巴德市
woertequ	沃尔特区
abtdlzk	安巴通德拉扎卡
yingpufengduo	英普丰多
yiyunxiaozhen	依云小镇
xijin-gantuoke	锡金-甘托克
awuawu	阿武阿武
panjin	盘锦
dmflqdd	丹麦法罗群岛（丹）
tuerku	图尔库
yanji	延吉
tlxl	特鲁西洛
badengbadeng	巴登巴登
longhai	龙海
baerboya	巴尔博亚
luxi	潞西
leling	乐陵
nym	尼亚美
xila	希腊
mojiliaofu	莫吉廖夫
hannisibao	翰尼斯堡
apalapuxili	阿帕拉普希里
suoluodi	索罗蒂
shengmalinuo	圣马力诺
ruian	瑞安
fenlan	芬兰
gegong	戈公
fujin	富锦
yanqi	焉耆
xibanya	西班牙
shandong	山东
reshufu	热舒夫
kskys	卡斯卡伊斯
nanao	南澳
nanan	南安
rire	日惹
smxes	圣米歇尔山
xiangfan	襄樊
lagesi	拉各斯
ganlushi	甘露市
lushancheng	绿山城
mafulake	马夫拉客
aeblts	阿尔伯勒塔斯
akll	阿克雷里
aklg	阿卡里瓜
lilanggefu	利朗格弗
anshun	安顺
kcgydq	开城工业地区
ashbds	阿什哈巴德市
maidelin	麦德林
xuliya	叙利亚
ablb	安比卢贝
xini	悉尼
yakeshi	牙克石
nandi	南迪	楠迪
balalai	巴拉莱
abls	安布里什
susai	苏塞
ylhskzzz	伊犁哈萨克自治州
kelakefu	克拉克福	克拉科夫
abmc	阿波美城
hepinggang	和平港
paernu	帕尔努
wenling	温岭
liboweier	利伯维尔
luzhonghai	绿中海
situjiate	斯图加特
asimala	阿斯马拉
hengshui	衡水
bosiniya	波斯尼亚
neimenggu	内蒙古
andaweilasi	安达韦拉斯
ruili	瑞丽
jiuquan	酒泉
Milan	Milan	Milan
guangan	广安
jintan	金坛
zhangsha	长沙
yunding	云顶
asidipalaiadao	阿斯蒂帕莱阿岛
bosanggea	博桑戈阿
zhangshu	樟树
yawende	雅温得
anguilaying	安圭拉（英）
dalanzhadagade	达兰扎达嘎德
xinyang	信阳
bldslf	布拉迪斯拉发
bltly	比勒陀利亚
bonapei	波纳佩
saiweiliya	塞维利亚
lishi	离石
qiandongnan	黔东南
sailalai	塞拉莱
abys	阿博伊索
bldos	布伦迪欧斯
kamishenli	卡米什利
genhe	根河
allkl	阿拉拉库拉
lijia	里加
aplpxl	阿帕拉普希里
pnwr	潘涅维日
miquan	米泉
gangguojin	刚果（金）
huanhui	胡安惠
zhejiang	浙江
yanan	延安
sjbe	桑给巴尔
sydbe	赛义德布尔
rilina	日利纳
jizhou	冀州
weilakelusi	维拉克鲁斯
bywst	贝亚维斯塔
wulatezhongzhen	乌拉特中镇
absl	安波塞利
mskec	密什科尔茨
absg	阿巴斯港
ganjia	甘贾
gelinglandan	格陵兰（丹）
luoshanji	洛杉机	洛杉矶
mllqs	马拉洛奇斯
bbds	巴巴多斯
aegla	埃尔果累阿
alula	阿卢拉
zhangzhou	漳州
dehong	德宏
jishou	吉首
yindu	印度
beilali	贝拉里
anwtkd	埃尼威托克岛
tunisicheng	突尼斯城
ruzhou	汝州
batena	巴特纳
shantou	汕头
jianada	加拿大
aluoa	阿洛阿
tulibuluoke	图利布洛克
banamacheng	巴拿马城
basiteer	巴斯特尔
maiami	迈阿密
fuhuojiedao	复活节岛
anbatulanpi	安巴图兰皮
jingdezhen	景德镇
fodejiao	佛得角
dongtai	东台
tangjia	汤加
masaimala	马赛马拉
lusongdao	吕宋岛
budapeisi	布达佩斯
weidimala	危地马拉
wenchang	文昌
shijiazhuang	石家庄
klwlg	克里沃罗格
saibuha	塞布哈
llmn	拉罗马纳
namibi	纳米比
mltny	毛里塔尼亚
weiduoliyazhou	维多利亚州
jiyuan	济源
mangaiyadao	芒艾亚岛
suhumishi	苏呼米市
wens	维尔纽斯
qiqihaer	齐齐哈尔
fuyun	富蕴
shangluo	商洛
qianxinan	黔西南
apiya	阿皮亚
lingyuan	凌源
mashaoerqundao	马绍尔群岛
bulufeierci	布鲁菲尔茨
glby	哥伦比亚
wuyishan	武夷山
aketao	阿克套
dacheng	大城
bageda	巴格达
shengfeiernanduo	圣费尔南多
hebei	河北
bakeer	巴克尔
kuazulu-nataersheng	夸祖鲁-纳塔尔省
heben	赫本
dmnjghg	多米尼加共和国
enduola	恩多拉
fsblnxy	法属波利尼西亚
anbatumaiyindi	安巴图迈茵蒂
aeghd	艾尔格哈达
gujiao	古交
fms	福莫萨
kasabulanka	卡萨布兰卡
deliboli	的黎波里
tlhm	特隆海姆
bolaigu	波来古
paluo	帕罗
bahedaer	巴赫达尔
shenghelenaying	圣赫勒拿（英）
btpx	博托帕西
nkalf	努库阿洛法
yicheng	宜城
kplw	卡普里维
dishi	迪石
mindandao	民丹岛
tnnlf	塔那那利佛
anguo	安国
maputuo	马普托
bkks	北凯科斯
zhongsha	中沙
huizhou	徽州	惠州
masai	马赛
huaxinqiyan	华欣七岩
bubaji	布巴基
duominijiadao	多米尼加岛
jedhp	加尔达湖畔
haerbin	哈尔滨
meiyuete	梅约特
hejian	河间
wwwd	瓦瓦乌岛
dunhua	敦化
sdmhplxb	圣多美和普林西比
haimen	海门
adnag	安东尼奥港
zhongdian	中甸
ailiwen	埃里温
conghua	从化
baishawa	白沙瓦
ketuonu	科托努
manzhouli	满洲里
shengbaoluo	圣保罗
falu	法鲁
btjf	巴坦加弗
alusha	阿鲁沙
xinxiang	新乡
masikaku	马斯喀绔
aertai	阿尔泰
llgf	利朗格弗
jjse	济金绍尔
malaiyiqu	马来奕区
asbj	阿塞拜疆
abtbd	阿伯塔巴德
flb	菲律宾
aisen	埃森
fld	弗里敦
asbd	阿什伯顿
fll	发罗拉
matinike(fashu)	马提尼克(法属)
jinhua	金华
flj	费卢杰
abzb	阿布扎比
bkld	巴科洛德
jianqiao	剑桥
huludao	葫芦岛
rizhao	日照
bkll	巴克拉兰
intelaken	intelaken	intelaken
shengsi	嵊泗
klwfl	卡罗维发利
kebuduo	科布多
mangshi	芒市
yingyang	荥阳
monage	摩纳哥
sulinan	苏里南
donglundun	东伦敦
gente	根特
dingan	定安
laisuotuo	莱索托
nabulusi	纳布卢斯
haidijiao	海地角
pulinxibi	普林西比
sbdb	圣彼得堡
aerbaha	阿尔巴哈
tiantai	天台
mtkdn	蒙特卡蒂尼
wetq	沃尔特区
bkne	比卡内尔
nxbd	诺西贝岛
nuowoxibiersike	诺沃西比尔斯克
wuzhou	梧州
emeishan	峨眉山
kalongjia	卡龙加
jiaxing	嘉兴
bbld	贝贝拉蒂
atushen	阿图什
haidong	海东
suzhou	宿州	苏州
longyan	龙岩
daniding	达尼丁
xinjiapo	新加坡
liyeka	里耶卡
nakulu	纳库鲁
kelamayi	克拉玛依
lindi	林迪
puneika	普那卡
shenhu	神户
jineiyabishao	几内亚比绍
bisa	比萨
yiyang	益阳
mshd	马什哈德
buwakai	布瓦凯
stlsb	斯特拉斯堡
aldy	奥拉迪亚
doudongqu	都东区
mdjsj	马达加斯加
tkmst	土库曼斯坦
palunke	帕伦克
jinchang	金昌
linzhi	林芝
wnydem	维尼亚德尔马
byml	巴亚马雷
latajiya	拉塔基亚
tianebao	天鹅堡
nuokusi	诺库斯
alet	阿莱尔塔
gtnm	关塔那摩
aguakelala	阿瓜克拉拉
byne	巴彦淖尔
bata	巴塔
ppna	佩皮尼昂
saineijiaer	塞内加尔
ysblk	因斯布鲁克	茵斯布鲁克
shawayi	沙娃伊
bosadasi	波萨达斯
fklqd	福克兰群岛
achutupo	阿楚图珀
otelaisi	噢特莱斯
liusen	琉森
bajisitan	巴基斯坦
linhai	临海
xbyg	西班牙港
asitana	阿斯塔纳
balesitanguo	巴勒斯坦国
algd	埃里甘地
aodaliya	澳大利亚
nmby	纳米比亚
banjialuoer	班加罗尔
linci	林茨
base	巴色
hunan	湖南
basi	巴斯
masitelihete	马斯特里赫特
xingtai	邢台
deheilan	德黑兰
bamo	八莫
lbx	莱比锡
lby	利比亚
dbl	都柏林
dbf	奠边府
zhongqing	重庆
dbg	多巴哥
xiangxi	湘西
mskk	马斯喀绔
mlke	马拉卡尔
dbs	调兵山	底比斯
mlkd	马略卡岛
eexj	俄尔辛基
qingzhou	青州	庆州
paduowa	帕多瓦
aljp	阿拉吉普	阿雷基帕
baotou	包头
mslt	米苏拉塔
shengfeilipei	圣费利佩
dal	杜阿拉
spaehmkld	圣皮埃尔和密克隆岛
jiduo	基多
legdese	拉尔戈德尔苏尔
linan	临安
stlnd	圣托里尼岛
asupo	阿速坡
keluoer	科罗尔
bmlynm	北马里亚纳（美）
bulajia	布拉加
alamutu	阿拉木图
msml	玛沙玛拉	马赛马拉
alld	阿罗赖岛
kuche	库车
jieyang	揭阳
lad	罗安达
aosilu	奥斯陆
ddq	都东区
bapd	北安普顿
ddw	东帝汶
kegqb	库尔干秋别
hailin	海林
taiyangcheng	太阳城
ajiadier	阿加迪尔
lat	罗阿坦
hefei	合肥
tkshkksqdy	特克斯和凯科斯群岛（英）
jinshasa	金沙萨
mlks	马拉喀什
alkd	艾芦克岛
balawang	巴拉望
amstd	阿姆斯特丹
lbg	卢班戈
lbm	卢博莫
alkq	阿拉卡茄
fsgyn	法属圭亚那
fukang	阜康
lbn	黎巴嫩
lbt	拉巴特
lbs	拉巴斯
baojiao	宝礁
jida	吉达
jibuti	吉布提
alalakula	阿拉拉库拉
daleisisalamu	达累斯萨拉姆
wuhai	乌海
wuhan	武汉
bohei	波黑
beipiao	北票
aerbamingqi	阿尔巴明契
aomen	澳门
lusenbao	卢森堡
malua	马鲁阿
shenzhen	深圳
xjps	新加坡市
zhanjiang	湛江
dehui	德惠
cts	赤塔市
alnk	阿拉努卡
kwh	科维哈
malawei	马拉维
almt	阿拉木图
natptp(d)	纽阿托普塔普(岛)
kwc	考文垂
csx	冲绳县
bitamu	比塔姆
kelunpo	科伦坡
duobage	多巴哥
sdyg	圣地亚哥
mtnk(fs)	马提尼克(法属)
manila	马尼拉
mengzhou	孟州
yuxi	玉溪
liping	黎平
alpy	奥林匹亚
yixing	宜兴
kte	卡塔尔
bulusilaguna	布鲁斯拉古纳
doubolin	都柏林
aerbina	阿尔比纳
kss	卡塞塞
ljsx	拉杰沙希
jian	吉安	集安
faguo	法国
boendai	博恩代
ksn	卡萨内
ksm	卡萨马
ksl	科斯雷
laohekou	老河口
xizang	西藏
bywk	比亚文克
wotefude	沃特福德
aolan	奥兰
bolabola	博拉博拉
msbk	莫桑比克
ktn	科托努
huangyan	黄岩
ktm	喀土穆
houen	候恩
abomeicheng	阿波美城
madelaqundaopu	马德拉群岛（葡）
bazhou	霸州
dibai	迪拜
dangguola	当果拉
